level,rep,group,diet_no,ratio,yeast,sugar,CFU_AP,CFU_LB,Fecundity,Weight,Protein,Glucose,TAG,Average_counts_L,Average_counts_D,sleep_time_L,sleep_time_D
360,8,CV,19,00:01,0,360,,,,1.1158,0.982577293,0.025023571,0.109887231,,,,
360,8,LB,19,00:01,0,360,,,,,,,,,,,
360,9,AP,19,00:01,0,360,,,,,,,,,,,
360,9,AP+LB,19,00:01,0,360,,,,,,,,,,,
360,9,AX,19,00:01,0,360,0,0,,,,,,,,,
360,9,CV,19,00:01,0,360,,,,1.457,0.664296558,0.018928708,0.084763669,,,,
360,9,LB,19,00:01,0,360,,,,,,,,,,,
45,1,AP,6,01:00.2,37.5,7.5,8800,0,34,1.573775,0.804155719,0.013860741,0.124891884,66.90721649,22.07291667,51.81111111,295.5861111
45,1,AP+LB,6,01:00.2,37.5,7.5,5600,1200,0,1.399,1.144001144,0.013474341,0.085234549,,,,
45,1,AX,6,01:00.2,37.5,7.5,0,0,60,1.49625,1.144381421,0.008548503,0.160564427,22.73195876,14.10416667,65.11176471,235.0875
45,1,CV,6,01:00.2,37.5,7.5,32000,,0,1.1036,1.328983931,0.008370538,0.048283606,,,,
45,1,LB,6,01:00.2,37.5,7.5,0,1000,22,1.4004,0.933343289,0.013679303,0.106232843,70.49484536,40.15625,47.41309524,100.6166667
45,2,AP,6,01:00.2,37.5,7.5,4800,0,25,1.4355,0.336,0.011823216,0.075,45.50515464,33.40625,50.88333333,160.9969697
45,2,AP+LB,6,01:00.2,37.5,7.5,12400,750,49,1.317,0.612491689,0.014019327,0.070117566,33.68041237,14.95833333,111.119697,182.6893939
45,2,AX,6,01:00.2,37.5,7.5,0,0,19,1.2832,1.448,0.017422198,0.105070221,55.15463918,29.09375,,
45,2,CV,6,01:00.2,37.5,7.5,153600,,55,1.2054,0.318,0.013091772,0.054857028,41.79381443,19.88541667,128.5740741,199.3833333
45,2,LB,6,01:00.2,37.5,7.5,0,1600,17,1.1958,1.106,0.019248103,0.156015056,52.64948454,23.91666667,172.4142857,243.4388889
45,3,AP,6,01:00.2,37.5,7.5,8000,0,30,1.51,0.479773645,0.015320342,0.083384856,47.28865979,18.98958333,82.94166667,137.1820513
45,3,AP+LB,6,01:00.2,37.5,7.5,14400,6000,89,1.738,0.715304152,0.008196125,0.071403866,139.0824742,32.02083333,32.15,154.1227273
45,3,AX,6,01:00.2,37.5,7.5,0,0,39,1.3628,1.609050095,0.011966794,0.110861804,71.42268041,18.71875,45.1875,96.203125
45,3,CV,6,01:00.2,37.5,7.5,44800,12000,44,1.202,0.851661133,0.006829528,0.027,41.40206186,16.35416667,141.0777778,150.3538462
45,3,LB,6,01:00.2,37.5,7.5,0,108800,21,1.34,0.910309135,0.016345671,0.168478625,65.75257732,15.8125,55.03958333,182.2121212
45,4,AP,6,01:00.2,37.5,7.5,33700,0,23,1.7082,0.910910079,0.014138325,0.089662835,36.81443299,26.17708333,72.945,92.30196078
45,4,AP+LB,6,01:00.2,37.5,7.5,38400,4400,65,1.367,1.29033569,0.008485348,0.091216368,69.48453608,37.16666667,107.2416667,187.025
45,4,AX,6,01:00.2,37.5,7.5,0,0,33,1.7686,0.706773719,0.008937969,0.090905133,47.10309278,32.10416667,59.16025641,122.0972222
45,4,CV,6,01:00.2,37.5,7.5,53333.33333,625,19,0.866,0.822200134,0.021806715,0.077168692,52.42268041,23.19791667,66.425,220.1166667
45,4,LB,6,01:00.2,37.5,7.5,0,8983.333333,10,1.4884,0.683013646,0.012381135,0.159998853,33.8556701,26.35416667,53.84561404,72.77583333
45,5,AP,6,01:00.2,37.5,7.5,96000,0,56,1.6414,0.629,0.011940163,0.080024464,38.8556701,25.16666667,52.48055556,104.075
45,5,AP+LB,6,01:00.2,37.5,7.5,6400,6400,65,1.6802,0.835010757,0.014755064,0.167996136,51.95876289,54.4375,70.72619048,46.80151515
45,5,AX,6,01:00.2,37.5,7.5,0,0,35,1.5704,0.454011647,0.014142406,0.11669259,48.39175258,27.97916667,212.3333333,132.362963
45,5,CV,6,01:00.2,37.5,7.5,41600,16000,14,1.141,1.425991825,0.009903098,0.106405068,61.62886598,29.58333333,42.76333333,100.2285714
45,5,LB,6,01:00.2,37.5,7.5,0,114112,66,1.5774,0.548,0.014420534,0.101168982,68.71134021,47.5,114.7547619,75.68846154
45,6,AP,6,01:00.2,37.5,7.5,,,,,,,,,,,
45,6,AP+LB,6,01:00.2,37.5,7.5,,,,,,,,,,,
45,6,AX,6,01:00.2,37.5,7.5,0,0,,,,,,,,,
45,6,CV,6,01:00.2,37.5,7.5,,,,1.4878,0.613686973,0.014707369,0.145335958,,,,
45,6,LB,6,01:00.2,37.5,7.5,,,,,,,,,,,
45,7,AP,6,01:00.2,37.5,7.5,,,,,,,,,,,
45,7,AP+LB,6,01:00.2,37.5,7.5,,,,,,,,,,,
45,7,AX,6,01:00.2,37.5,7.5,0,0,,,,,,,,,
45,7,CV,6,01:00.2,37.5,7.5,,,,1.6924,0.565186563,0.012929345,0.107519342,,,,
45,7,LB,6,01:00.2,37.5,7.5,,,,,,,,,,,
45,8,AP,6,01:00.2,37.5,7.5,,,,,,,,,,,
45,8,AP+LB,6,01:00.2,37.5,7.5,,,,,,,,,,,
45,8,AX,6,01:00.2,37.5,7.5,0,0,,,,,,,,,
45,8,CV,6,01:00.2,37.5,7.5,,,,1.5842,0.692058921,0.008985222,0.093381045,,,,
45,8,LB,6,01:00.2,37.5,7.5,,,,,,,,,,,
